Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
Nilmar;26;83;Brazil;Villarreal CF;ST;86;16500000;1888
Pablo Ibáñez;30;70;Spain;Birmingham City;CB;70;700000;1579
P. García;36;73;Uruguay;PAOK;CB;73;0;1900
Sergio García;35;77;Spain;RCD Espanyol;CF;77;4100000;1909
C. Blanco;42;71;Mexico;Club América;CAM;71;0;1741
Alexis;33;69;Spain;Racing Santander;CB;69;500000;1637
S. Francis;34;74;England;Bournemouth;CB;74;2100000;1770
H. Şükür;35;77;Turkey;Galatasaray SK;ST;78;0;1517
W. Morgan;36;73;Jamaica;Leicester City;CB;73;800000;1396
Alex;33;79;Brazil;Milan;CB;79;4500000;1757
Elano;34;74;Brazil;Santos;CAM;74;1700000;1971
Diego;30;79;Brazil;Fenerbahçe SK;CAM;79;9500000;1987
Robinho;34;77;Brazil;Sivasspor;CAM;77;4500000;1748
Luís Fabiano;34;77;Brazil;São Paulo;ST;77;3700000;1816
Lee Dong Gook;41;69;Korea Republic;Jeonbuk Hyundai Motors;ST;69;0;1656
Kim Young Kwang;37;68;Korea Republic;Seongnam FC;GK;68;90000;1197
M. Amelia;34;67;Italy;Vicenza;GK;67;475000;1168
P. Jones;34;61;England;Sheffield Wednesday;GK;61;110000;1043
A. Barzagli;37;83;Italy;Juventus;CB;83;1700000;1727
S. Kießling;33;75;Germany;Bayer 04 Leverkusen;ST;75;4200000;1820
D. Baier;35;77;Germany;FC Augsburg;CDM;77;2800000;1938
G. Pazzini;35;69;Italy;Hellas Verona;ST;69;475000;1672
M. Gobbi;37;71;Italy;Parma;CB;71;110000;1867
M. Cassani;33;68;Italy;Bari;CB;68;150000;1806
O. Martins;35;75;Nigeria;Wuhan Zall;ST;75;3100000;1928
G. Pandev;36;72;North Macedonia;Genoa;CAM;72;1100000;1804
G. Samaras;31;69;Greece;Real Zaragoza;ST;69;900000;1715
P. Odemwingie;34;69;Nigeria;Rotherham United;ST;69;475000;1803
M. Vorm;35;74;Netherlands;Tottenham Hotspur;GK;74;1500000;1293
J. Verhoeven;34;65;Netherlands;FC Utrecht;GK;65;350000;1213
G. Johnson;32;73;England;Stoke City;CDM;73;2200000;1977
R. Huth;32;74;Germany;Leicester City;CB;74;3200000;1585
Vágner Love;34;76;Brazil;Beşiktaş JK;ST;76;4100000;1874
Pedrinho;31;72;Brazil;Figueirense;CF;80;0;1442
J. Lotiès;33;66;France;KAS Eupen;CB;66;250000;1472
D. Verhulst;30;69;Belgium;Sporting Lokeren;GK;69;675000;1064
Bruno Alves;38;72;Portugal;Parma;CB;72;625000;1927
E. Cambiasso;35;77;Argentina;Olympiacos CFP;CDM;77;2400000;2028
J. Barton;33;75;England;Burnley;CDM;75;2500000;2046
P. Onstad;42;67;Canada;DC United;GK;70;0;1294
J. Milner;34;80;England;Liverpool;CDM;80;7000000;2167
J. Walters;34;71;Republic of Ireland;Burnley;ST;71;1200000;1876
Kaká;35;80;Brazil;;CAM;80;0;1832
Diego Tardelli;33;76;Brazil;Shandong Luneng TaiShan FC;CAM;76;4700000;1970
R. Hubník;35;72;Czech Republic;Viktoria Plzeň;CB;72;950000;1733
R. Brouwers;34;72;Netherlands;Roda JC Kerkrade;CB;72;650000;1492
G. N'Daw;32;66;Senegal;Racing Club de Lens;CB;66;350000;1673
A. D'Alessandro;35;79;Argentina;River Plate;CAM;79;3800000;1929
B. Jones;33;65;England;Rotherham United;RB;65;240000;1744
J. Lescott;33;70;England;Sunderland;CB;70;600000;1631
D. Fletcher;34;69;Scotland;Stoke City;CM;69;500000;1876
G. Lux;38;72;Argentina;River Plate;GK;72;325000;1253
M. López;36;68;Argentina;Crotone;ST;68;325000;1647
D. Lewington;36;65;England;Milton Keynes Dons;LB;65;100000;1648
D. Moscardelli;39;69;Italy;Pisa;CF;69;300000;1750
A. Alcáraz;37;72;Paraguay;Olimpia Asunción;CB;72;625000;1619
G. Chiellini;35;87;Italy;Juventus;CB;87;15500000;1830
Hugo Almeida;33;72;Portugal;AEK Athens;ST;72;2000000;1660
S. Abreu;37;68;Uruguay;Rosario Central;ST;68;100000;1610
O. Sánchez;40;71;Mexico;Santos Laguna;GK;71;275000;1328
J. Beltrán;33;68;Mexico;Querétaro;CB;75;0;1616
C. Rodríguez;36;68;Argentina;Club Atlético Colón;RWB;68;100000;1864
W. Caballero;38;75;Argentina;Chelsea;GK;75;675000;1235
L. Ponzio;38;73;Argentina;River Plate;CDM;73;875000;1939
Nani;33;80;Portugal;Orlando City SC;LW;80;9000000;1971
C. Salcido;39;68;Mexico;Tiburones Rojos de Veracruz;CB;68;120000;1790
D. Lopar;35;67;Switzerland;Western Sydney Wanderers;GK;67;210000;1129
B. Cesar;37;70;Slovenia;Chievo Verona;CB;70;350000;1367
D. Nugent;35;66;England;Preston North End;ST;66;300000;1682
C. Fuchs;34;73;Austria;Leicester City;CDM;73;1400000;2024
J. Stead;37;58;England;Harrogate Town;ST;58;45000;1480
K. Foley;31;63;Republic of Ireland;Coventry City;CDM;63;275000;1724
J. Shackell;35;66;England;Lincoln City;CB;66;200000;1511
A. Hutton;33;69;Scotland;Aston Villa;CB;69;400000;1837
C. Conway;35;64;Scotland;St. Johnstone FC;RM;64;200000;1744
F. Marchetti;37;71;Italy;Genoa;GK;71;240000;1226
V. Kompany;33;82;Belgium;RSC Anderlecht;CB;82;10500000;1849
C. Wilhelmsson;34;67;Sweden;Mjällby AIF;RW;67;300000;1666
S. Silva;39;72;Uruguay;Argentinos Juniors;ST;72;900000;1790
Michel Bastos;31;78;Brazil;São Paulo;LM;78;7000000;2136
J. Morel;36;75;Madagascar;FC Lorient;CB;75;1300000;1845
G. Loovens;35;66;Netherlands;Sunderland;CB;66;200000;1316
W. Sneijder;33;83;Netherlands;OGC Nice;CAM;83;15500000;1964
D. Srna;36;78;Croatia;Cagliari;CM;78;1200000;2173
J. Rodríguez;37;67;Mexico;Monarcas Morelia;CM;67;50000;1852
J. Cáceres;40;71;Paraguay;Olimpia Asunción;CB;71;0;1624
Rafael;38;73;Brazil;Spezia;GK;73;400000;1096
J. Cacho;32;62;Mexico;Puebla FC;ST;62;275000;1572
H. Sogahata;40;65;Japan;Kashima Antlers;GK;65;50000;990
Y. Endo;40;68;Japan;Gamba Osaka;CM;68;0;1848
D. Matsui;39;61;Japan;Yokohama FC;CAM;61;70000;1570
P. Da Silva;40;67;Paraguay;Club Libertad;CB;67;0;1439
G. Ochoa;34;79;Mexico;Mexico;GK;79;5500000;1242
F. Fonseca;33;65;Mexico;Atlante;ST;65;240000;1684
D. Verón;36;73;Paraguay;Paraguay;CB;73;0;1771
A. Palacios;35;74;Mexico;U.N.A.M.;GK;74;2000000;1135
A. Mirante;36;78;Italy;Roma;GK;78;1700000;1216
Jô;32;74;Brazil;Nagoya Grampus;ST;74;4500000;1779
A. Gashi;35;61;Kosovo;Odds BK;CDM;61;80000;1740
A. Baptiste;34;63;England;Bolton Wanderers;CB;63;140000;1483
R. Wallace;34;67;Scotland;St. Mirren;CAM;67;375000;1850
D. Marshall;35;72;Scotland;Derby County;GK;72;850000;1163
N. Vidić;33;81;Serbia;Inter;CB;81;7500000;1609
N. Kovačević;33;63;Serbia;Nîmes Olympique;CB;63;130000;1738
R. Klavan;34;74;Estonia;Cagliari;CB;74;2100000;1689
S. Ivanov;30;67;Moldova;Lokomotiv Moscow;CAM;67;400000;1832
T. Ben Haim;32;69;Israel;Charlton Athletic;CB;69;575000;1565
Z. Dedič;35;68;Slovenia;WSG Tirol;ST;68;400000;1779
E. Spahić;35;76;Bosnia Herzegovina;Hamburger SV;CB;76;900000;1629
K. Vadócz;35;71;Hungary;Peñarol;CDM;71;750000;1840
E. Abidal;34;75;France;Olympiacos CFP;CB;75;1000000;1696
F. Adu;24;68;United States;Bahia;LW;70;850000;1662
B. Hüttenbrenner;31;64;Austria;Wolfsberger AC;CB;64;300000;1577
S. Bossut;34;72;Belgium;SV Zulte-Waregem;GK;72;1400000;1189
J. Thomsen;37;65;Denmark;Randers FC;RB;65;100000;1729
A. Tziolis;33;70;Greece;Al Fayha;CDM;70;725000;1756
M. McNulty;39;60;Republic of Ireland;Cork City;GK;60;20000;1021
P. Webó;34;74;Cameroon;Osmanlıspor;ST;74;1800000;1748
Verza;33;66;Spain;FC Cartagena;CM;66;375000;1848
Aitor Sanz;35;71;Spain;CD Tenerife;CDM;71;750000;1916
D. Ludueña;33;70;Argentina;Club Atlético Talleres;CAM;70;875000;1699
L. López;37;78;Argentina;Racing Club;ST;78;3700000;2017
D. Milito;36;78;Argentina;Racing Club;ST;78;1200000;1859
C. Araujo;37;71;Argentina;Club Atlético Huracán;RB;71;425000;1826
M. Barovero;35;75;Argentina;Monterrey;GK;75;1800000;1191
L. González;34;77;Argentina;River Plate;CM;77;3300000;2053
J. Mascherano;36;79;Argentina;Estudiantes de La Plata;CDM;79;2700000;1948
G. Rodríguez;35;72;Argentina;San Lorenzo de Almagro;CB;72;950000;1709
P. Zabaleta;34;74;Argentina;West Ham United;CB;74;2000000;1941
J. Gutiérrez;36;69;Argentina;Club Atlético Banfield;CM;69;325000;1812
A. Pyatov;36;76;Ukraine;Shakhtar Donetsk;GK;76;1300000;1220
G. Denis;35;71;Argentina;Club Atlético Lanús;ST;71;1100000;1679
R. Martínez;37;70;Argentina;Club Atlético Tigre;CAM;70;575000;1826
M. Barbosa;34;75;Argentina;Villarreal CF;GK;75;2900000;1216
J. Dátolo;36;73;Argentina;Club Atlético Banfield;CAM;73;1300000;1842
C. Tévez;36;78;Argentina;Boca Juniors;ST;78;3700000;1962
A. Gómez;32;86;Argentina;Atalanta;CAM;86;34500000;2065
M. Pavone;36;71;Argentina;Estudiantes de La Plata;ST;71;850000;1752
J. Sosa;35;78;Argentina;Fenerbahçe SK;CM;78;4300000;2079
G. Karadeniz;37;73;Turkey;Rubin Kazan;CAM;73;1100000;1911
L. Pocrnjic;38;71;Argentina;Club Atlético Aldosivi;GK;71;240000;1044
O. Adın;32;70;Turkey;Antalyaspor;LW;70;1400000;1978
Serhat Akin RF  LF;29;65;Turkey;Karlsruher SC;RW;76;0;1685
V. Demirel;36;74;Turkey;Fenerbahçe SK;GK;74;750000;1214
P. van Hooijdonk;36;79;Netherlands;Feyenoord;ST;85;0;1241
G. Gönül;35;76;Turkey;Fenerbahçe SK;RB;76;2200000;2037
F. Mondragón;42;72;Colombia;Colombia;GK;72;0;1204
A. Turan;33;74;Turkey;Galatasaray SK;LM;74;3400000;2016
M. Demir;28;70;Turkey;Gazişehir Gaziantep F.K.;CF;70;1800000;1872
Y. Kurtuluş;34;66;Turkey;Antalyaspor;CDM;66;250000;1860
C. Schwegler;36;67;Switzerland;FC Luzern;RB;67;140000;1733
A. Bunjaku;36;67;Kosovo;Viktoria Köln;ST;67;275000;1719
S. Kırıntılı;35;75;Turkey;Atiker Konyaspor;GK;75;1800000;1189
E. Albayrak;29;72;Turkey;Antalyaspor;LB;72;2600000;1969
O. Wendt;34;75;Sweden;Borussia Mönchengladbach;LB;75;2300000;2005
Raffael;34;76;Brazil;Borussia Mönchengladbach;CAM;76;4100000;1954
Mora;37;70;Spain;Getafe CF;CM;70;120000;1823
Ion Vélez;30;64;Spain;CD Mirandés;ST;64;400000;1637
Tito;33;71;Spain;Rayo Vallecano;RB;71;1100000;1799
Momo;35;68;Spain;UD Las Palmas;CAM;68;400000;1798
Mikel Rico;35;73;Spain;SD Huesca;CDM;73;1700000;1938
Andrés Fernández;33;78;Spain;SD Huesca;GK;78;5500000;1330
Negredo;34;76;Spain;Cádiz CF;ST;76;4100000;1876
Raúl Cámara  B;34;67;Spain;CD Tenerife;RB;67;220000;1813
Javi Fuego;36;69;Spain;Real Sporting de Gijón;CDM;69;230000;1820
Xabi Prieto;33;80;Spain;Real Sociedad;CM;80;8500000;1906
Dani Alves;35;82;Brazil;Paris Saint-Germain;CAM;82;4800000;2205
Jesús Navas;34;84;Spain;Sevilla FC;RB;84;11000000;2170
Santi Cazorla;35;82;Spain;Spain;CM;82;0;2129
Dani Giménez;35;72;Spain;Deportivo de La Coruña;GK;72;850000;1112
Sylvinho;35;77;Brazil;Manchester City;LB;84;0;1610
G. Munúa;35;74;Uruguay;Fiorentina;GK;74;240000;1385
Nenê;32;76;Brazil;West Ham United;LW;76;3700000;1920
Anderson Silva;26;68;Brazil;Barnsley;CM;75;0;1429
Diego López;38;76;Spain;RCD Espanyol;GK;76;775000;1200
Soldado;35;76;Spain;Granada CF;ST;76;3500000;1914
Juanfran;33;80;Spain;Atlético Madrid;RB;80;5500000;2050
Vesga;27;75;Spain;Athletic Club de Bilbao;CDM;76;7500000;1852
Iván Cuéllar;36;77;Spain;CD Leganés;GK;77;1500000;1281
Gabi;33;81;Spain;Atlético Madrid;CM;81;10500000;2116
J. Pinola;37;76;Argentina;River Plate;CB;76;1600000;1985
Iñaki Astiz;36;63;Spain;Legia Warszawa;CB;63;70000;1399
Rubén;36;74;Spain;CA Osasuna;GK;74;950000;1252
Diego Castro;37;76;Spain;Perth Glory;LW;76;2600000;1942
D. Bilyaletdinov;31;69;Russia;Rubin Kazan;CAM;69;875000;1814
A. Samedov;33;76;Russia;Spartak Moscow;RM;76;4700000;1994
A. Arshavin;34;75;Russia;Kuban Krasnodar;CAM;75;2100000;1842
C. Moţi;33;69;Romania;Romania;CB;69;0;1606
I. Akinfeev;34;80;Russia;PFC CSKA Moscow;GK;80;6500000;1243
I. Olić;36;71;Croatia;TSV 1860 München;ST;71;220000;1826
A. Rebrov;36;70;Russia;Spartak Moscow;GK;70;300000;1126
Raúl Meireles;32;76;Portugal;Fenerbahçe SK;CM;76;4000000;2135
R. Yanbaev;33;73;Russia;FC Krasnodar;RWB;73;1500000;1928
P. Kieszek;36;75;Poland;Rio Ave FC;GK;75;1100000;1237
M. Wasilewski;39;68;Poland;Wisła Kraków;CB;68;120000;1542
B. Vandenbussche;36;63;Belgium;KSV Cercle Brugge;GK;63;50000;1006
Luisão;37;77;Brazil;SL Benfica;CB;77;600000;1614
K. Huntelaar;36;74;Netherlands;Ajax;ST;74;2000000;1761
C. Molinaro;35;69;Italy;Venezia FC;LB;69;300000;1809
C. Maggio;38;74;Italy;Benevento;RB;74;1000000;2019
F. Magnanelli;35;75;Italy;Sassuolo;CDM;75;2100000;1863
G. Mascara;33;66;Italy;Pescara;CAM;66;325000;1717
A. Cordaz;37;72;Italy;Crotone;GK;72;325000;951
V. Bojinov;33;69;Bulgaria;Pescara;ST;69;650000;1753
A. Rosati;37;69;Italy;Torino;GK;69;110000;1059
A. Bennett;38;56;Republic of Ireland;Cork City;CB;56;20000;1082
K. Doyle;33;67;Republic of Ireland;Colorado Rapids;ST;67;475000;1769
G. Rogers;38;63;Republic of Ireland;Dundalk;GK;63;35000;1056
W. Hoolahan;38;66;Republic of Ireland;Cambridge United;CAM;66;220000;1699
K. Fahey;31;66;Republic of Ireland;Shamrock Rovers;CAM;66;550000;1888
D. Murphy;36;67;Republic of Ireland;Bolton Wanderers;ST;67;275000;1652
D. López;31;66;Paraguay;U.N.A.M.;ST;66;550000;1710
A. Papadopoulos;35;68;Greece;Olympiacos CFP;CB;68;275000;1707
J. Drobný;38;72;Czech Republic;Fortuna Düsseldorf;GK;72;210000;1041
M. Gómez;33;74;Germany;VfB Stuttgart;ST;74;3500000;1710
R. Salin;35;72;France;Stade Rennais FC;GK;72;850000;1188
L. Podolski;35;75;Germany;Antalyaspor;CAM;75;2900000;1967
P. Guerrero;30;78;Peru;Peru;ST;78;0;1838
P. Ochs;30;74;Germany;VfL Wolfsburg;RB;74;2500000;1972
S. Puygrenier;33;73;France;AJ Auxerre;CB;73;1300000;1658
J. Perbet;35;67;France;Oud-Heverlee Leuven;ST;67;350000;1506
J. Moukoko;23;54;DR Congo;;ST;62;0;1122
R. Mavuba;33;73;France;Sparta Praha;CDM;73;950000;1855
V. Demarconnay;37;68;France;Paris FC;GK;68;90000;1155
R. Sartre;31;63;France;Nîmes Olympique;CB;63;210000;1537
J. Hart;33;75;England;Tottenham Hotspur;GK;75;3600000;1245
B. Rotenberg B;34;62;Finland;Lokomotiv Moscow;RB;62;110000;1517
J. Coppinger;39;66;England;Doncaster Rovers;CAM;66;170000;1783
S. Davis;35;71;Northern Ireland;Rangers FC;CM;71;1000000;1903
J. Absalonsen;34;66;Denmark;SønderjyskE;LM;66;325000;1761
D. Agger;30;77;Denmark;Denmark;CB;77;0;1894
P. Netzer;34;65;Austria;SCR Altach;CB;65;200000;1558
M. Gspurning;36;66;Austria;1. FC Union Berlin;GK;66;90000;1101
G. Evans;32;64;England;Bradford City;ST;64;350000;1864
J. Puncheon;32;72;England;Huddersfield Town;CAM;72;2400000;1960
B. Johnson;33;69;England;Blackburn Rovers;CB;69;500000;1932
G. Clichy;33;76;France;Medipol Başakşehir FK;LB;76;3500000;1898
A. Tettey;34;71;Norway;Norwich City;CDM;71;900000;1941
O. Occéan;37;65;Canada;Mjøndalen IF;ST;65;160000;1646
J. Bjørdal;34;64;Norway;Vålerenga Fotball;CB;64;170000;1564
Ricardo Vaz Tê;33;71;Portugal;Portimonense SC;ST;71;1500000;1846
Piqué;33;86;Spain;FC Barcelona;CB;86;21000000;1991
A. Lennon;33;73;England;Kayserispor;RM;73;2400000;1843
Bobô;33;73;Brazil;Alanyaspor;ST;73;2500000;1775
M. Noble;33;75;England;West Ham United;CM;75;3900000;1988
A. Young;34;77;England;Inter;LM;77;4500000;2081
J. Sand;39;75;Argentina;Club Atlético Lanús;ST;75;1900000;1768
D. Montenegro;38;73;Argentina;Club Atlético Huracán;CAM;73;1100000;1792
R. Sambueza;36;76;Argentina;Deportivo Toluca;CAM;76;2600000;1973
E. Barreto;34;71;Paraguay;Sampdoria;CDM;71;1200000;1944
L. Barnard;30;60;England;Crawley Town;ST;60;180000;1581
D. Marney;35;64;England;Fleetwood Town;CB;64;190000;1787
S. Kelly;32;64;Republic of Ireland;Rotherham United;CB;64;240000;1695
R. Civelli;36;72;Argentina;Club Atlético Huracán;CB;72;625000;1680
P. Skjelbred;33;76;Norway;Rosenborg BK;CDM;76;3700000;1882
D. Cvitanich;36;74;Argentina;Racing Club;ST;74;2000000;1889
R. Palacio;38;75;Argentina;Bologna;RW;75;2400000;2003
M. Eikrem;29;75;Norway;Molde FK;CAM;75;6500000;1851
J. Insaurralde;35;71;Argentina;Colo-Colo;CB;71;725000;1544
V. Figueroa;36;62;Argentina;SD Aucas;LM;62;100000;1677
S. Agüero;32;89;Argentina;Manchester City;ST;89;53000000;2118
M. Zárate;33;76;Argentina;Boca Juniors;CF;76;4800000;1988
A. Gignac;34;81;France;Tigres U.A.N.L.;ST;81;9500000;2018
Hilton;42;77;Brazil;Montpellier HSC;CB;77;0;1820
J. Leca;34;73;France;Racing Club de Lens;GK;73;1800000;1162
Y. Gourcuff;31;74;France;Dijon FCO;CAM;74;4900000;1899
A. Håland;34;67;Norway;Aarhus GF;CB;67;110000;1510
Àngel Rangel;36;68;Spain;Queens Park Rangers;CB;68;160000;1853
Jorge Molina;38;78;Spain;Granada CF;ST;78;3700000;1780
M. Pasqual;36;74;Italy;Empoli;LWB;74;650000;1996
Y. Zhirkov;36;77;Russia;Russia;LB;77;0;2084
Lee Chung Yong;31;73;Korea Republic;Ulsan Hyundai FC;CAM;73;3500000;1884
M. Schäfer;32;76;Germany;VfL Wolfsburg;LWB;76;3000000;2051
R. Stearman;32;68;England;Huddersfield Town;CB;68;575000;1459
C. Ikeme;31;70;Nigeria;Wolverhampton Wanderers;GK;70;1100000;1138
L. Clarke;35;67;England;Shrewsbury;ST;67;350000;1606
P. Celeban;35;66;Poland;Śląsk Wrocław;CB;66;200000;1679
M. Ørnskov;33;64;Denmark;Lyngby BK;CDM;64;275000;1780
L. Perea;35;75;Colombia;Cruz Azul;CB;75;550000;1724
Sergio Ramos;34;89;Spain;Real Madrid;CB;89;24500000;2258
B. Białkowski;32;72;Poland;Millwall;GK;72;1900000;1160
A. McGeady;34;70;Republic of Ireland;Sunderland;CAM;70;900000;1865
S. Henderson;32;65;Republic of Ireland;Crystal Palace;GK;65;325000;1148
M. Bradley;32;75;United States;Toronto FC;CDM;75;4400000;1953
F. Insúa;35;70;Argentina;Argentinos Juniors;CAM;70;500000;1740
C. Dempsey;34;76;United States;Seattle Sounders FC;CAM;76;3400000;1891
Andrea Orlandi;32;69;Spain;Novara;CAM;69;825000;1775
R. Snodgrass;32;77;Scotland;West Ham United;RM;77;7000000;1986
S. McDonald;36;65;Australia;Brisbane Roar;CAM;65;190000;1766
C. Adam;33;67;Scotland;Reading;CM;67;450000;1850
R. McCormack;31;70;Scotland;Motherwell;ST;70;1600000;1830
Markel Bergara;33;75;Spain;Getafe CF;CDM;75;3200000;1904
R. Eremenko;31;78;Finland;Spartak Moscow;CAM;78;9000000;2010
M. Cranie;33;67;England;Luton Town;CB;67;350000;1622
M. Mills;32;65;England;Forest Green Rovers;CB;65;350000;1477
D. Blackstock;30;65;"Antigua &amp; Barbuda";Rotherham United;ST;65;500000;1679
J. Thomas;33;68;England;Port Vale;LM;68;525000;1662
J. Lewis;32;72;England;Aberdeen;GK;72;1900000;1266
Ederson;28;74;Brazil;Lazio;RW;74;3800000;1956
A. Akinfenwa;38;65;England;Wycombe Wanderers;ST;65;190000;1585
M. Muñoz;37;71;Mexico;Puebla FC;GK;71;160000;1116
D. Álvarez;38;70;Mexico;Tigres U.A.N.L.;RW;70;475000;1827
R. Márquez Lugo;32;65;Mexico;Guadalajara;ST;65;425000;1704
P. Quasten;35;66;Czech Republic;RKC Waalwijk;LB;66;180000;1655
J. Corona;39;75;Mexico;Cruz Azul;GK;75;675000;1192
Roberci;30;69;Brazil;Jeju United FC;ST;69;650000;1663
G. Hoarau;36;74;France;FC Sion;ST;74;2000000;1854
A. Talavera;37;74;Mexico;Mexico;GK;74;575000;1321
P. Pentke;35;73;Germany;TSG 1899 Hoffenheim;GK;73;1100000;1229
T. Gebauer;38;64;Austria;LASK Linz;GK;64;45000;1082
R. Wood;34;66;England;Rotherham United;CB;66;240000;1381
Y. Abe;38;65;Japan;Urawa Red Diamonds;CDM;65;170000;1787
C. Lucchetti;42;71;Argentina;Atlético Tucumán;GK;71;240000;1324
M. Vuoso;34;69;Mexico;Club Atlético Talleres;ST;69;550000;1716
I. Vázquez;37;68;Mexico;FC Juárez;GK;68;90000;1303
H. Herrera;30;81;Mexico;Atlético Madrid;CM;81;16500000;2147
F. Ribéry;37;81;France;Fiorentina;CAM;81;6500000;1915
I. Sissoko;28;72;Ivory Coast;BB Erzurumspor;RM;72;3100000;1736
A. Granqvist;35;72;Sweden;Helsingborgs IF;CB;72;950000;1674
M. Flamini;34;75;France;Getafe CF;CB;75;2000000;1936
J. Faubert;31;71;France;Kilmarnock;CDM;71;1100000;1964
G. Rojas;32;62;Mexico;Dorados de Sinaloa;LWB;62;210000;1748
D. Pratley;35;65;England;Charlton Athletic;CB;65;230000;1880
C. Berra;34;68;Scotland;Heart of Midlothian;CB;68;325000;1387
G. Sardo;37;66;Italy;Chievo Verona;CB;66;0;1807
A. Nocerino;33;71;Italy;Benevento;CDM;71;950000;1922
C. Ochoa;37;66;Mexico;Santos Laguna;ST;66;80000;1637
J. Russell;35;52;Republic of Ireland;Sligo Rovers;CM;52;20000;1470
R. Babel;33;77;Netherlands;Galatasaray SK;ST;77;5500000;1979
T. Vermaelen;34;75;Belgium;Belgium;CB;75;2500000;1858
S. Marveaux;34;67;France;FC Lorient;CAM;67;375000;1856
M. Sissoko;33;68;Mali;FC Sochaux-Montbéliard;CB;68;375000;1757
C. Giménez;37;69;Mexico;Pachuca;CAM;69;275000;1799
Pedro López;36;72;Spain;SD Huesca;RB;72;575000;1914
Raúl Albiol;34;82;Spain;Villarreal CF;CB;82;8000000;1754
J. Valdivia;36;72;Chile;Mazatlán FC;CAM;72;1000000;1772
A. Song;31;70;Cameroon;FC Sion;CDM;70;1300000;1829
M. Stoppelkamp;33;69;Germany;MSV Duisburg;RM;69;650000;1866
D. Mesbah;32;73;Algeria;FC Lausanne-Sport;LB;73;2200000;1950
N. Kranjčar;32;68;Croatia;Rangers FC;CAM;68;675000;1732
S. Dann;33;73;England;Crystal Palace;CB;73;1900000;1476
L. Ciman;34;69;Belgium;Toronto FC;CB;69;400000;1842
U. Hünemeier;34;68;Germany;SC Paderborn 07;CB;68;325000;1694
B. Berisha;34;68;Kosovo;Western United FC;ST;68;475000;1705
M. Russ;33;72;Germany;Eintracht Frankfurt;CB;72;1500000;1487
A. Jaakkola;33;67;Finland;Bristol Rovers;GK;67;400000;1178
S. Carson;34;70;England;Manchester City;GK;70;775000;1144
Q. Westberg;34;69;United States;Toronto FC;GK;69;450000;1113
Leandro Domingues;36;65;Brazil;Yokohama FC;CAM;65;180000;1851
Manuel Fernandes;32;79;Portugal;Lokomotiv Moscow;CAM;79;10000000;2139
L. Messi;33;93;Argentina;FC Barcelona;RW;93;67500000;2231
B. Costil;32;79;France;FC Girondins de Bordeaux;GK;79;7500000;1190
J. Farfán;34;77;Peru;Lokomotiv Moscow;RM;77;4500000;1991
A. Hunt;33;73;Germany;Hamburger SV;CAM;73;2400000;1907
Salva Sevilla;36;74;Spain;RCD Mallorca;CM;74;1800000;1837
M. Sonnleitner;33;67;Austria;SK Rapid Wien;CB;67;350000;1620
Juanma;37;70;Spain;CF Fuenlabrada;CB;70;350000;1762
S. Kalou;33;76;Ivory Coast;Hertha BSC;CF;76;4700000;1898
Zheng Zhi;39;68;China PR;Guangzhou Evergrande Taobao FC;CDM;68;130000;1824
Gao Lin;34;67;China PR;Shenzhen FC;ST;67;400000;1850
Dong Fangzhuo;25;62;China PR;Portimonense SC;ST;69;0;1619
M. González;31;73;Chile;Colo-Colo;LM;73;2400000;1891
F. Evacuo;36;66;Italy;Trapani;ST;66;230000;1613
I. Afellay;33;74;Netherlands;PSV;CAM;74;3400000;1928
N. Asare;33;71;Ghana;KAA Gent;LB;71;1100000;1939
K. Reichel;33;69;Germany;VfL Osnabrück;LB;69;475000;1883
Gelson Fernandes;32;76;Switzerland;Eintracht Frankfurt;CDM;76;5000000;1918
K. Jones;32;66;"Trinidad &amp; Tobago";Atlanta United;ST;66;525000;1607
O. Peralta;36;69;Mexico;Guadalajara;ST;69;375000;1798
Dante;36;76;Brazil;OGC Nice;CB;76;1600000;1786
M. Debuchy B;34;78;France;AS Saint-Étienne;RB;78;3600000;2068
P. Tschauner;34;72;Germany;RB Leipzig;GK;72;1400000;1141
W. Janssen;33;73;Netherlands;FC Utrecht;CB;73;1900000;1908
L. Osman;34;75;England;Everton;CAM;75;2000000;2066
G. İnler;35;73;Switzerland;Medipol Başakşehir FK;CDM;73;1300000;1915
C. Saucedo;33;70;Mexico;Monarcas Morelia;GK;70;950000;1171
J. Beausejour;35;72;Chile;Universidad de Chile;LB;72;875000;2007
